Players,2022 Set,Country,State Association,Age,Specialism,Batting Style,Bowling Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh,Price Paid,Team,Bid
Andile Phehlukwayo,AL7,South Africa,F,26,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,4.0,71.0,35.0,0.0,Do No Play,Do No Play,0.0,Capped,50,0.0,UnSold,UnSold
Seekkuge Prasanna,AL7,Sri Lanka,F,36,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,1.0,40.0,20.0,0.0,Do No Play,Do No Play,0.0,Capped,50,0.0,UnSold,UnSold
Raymon Reifer,AL7,West Indies,F,30,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,1.0,5.0,0.0,0.0,Do No Play,Do No Play,0.0,Capped,50,0.0,UnSold,UnSold
Amit Ali,UAL7,India,TCA,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Chaitanya Bishnoi,UAL7,India,HCA,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0.0,0.0,0.0,0.0,CSK,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Mayank Dagar,UAL7,India,HPCA,25,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0.0,0.0,0.0,0.0,KXIP,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Migael Pretorius,UAL7,South Africa,F,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Karan Sharma,UAL7,India,UPCA,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,2000000.0,LSG,Sold
Shivam Sharma,UAL7,India,DDCA,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0.0,0.0,0.0,5.0,KXIP,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Pratyush Singh,UAL7,India,BICA,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0.0,0.0,0.0,0.0,"CSK, DD",Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Sanvir Singh,UAL7,India,PCA,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Dhrushant Soni,UAL7,India,RSPB,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
M Venkatesh,UAL7,India,KSCA,21,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Bandaru Ayyappa,UFA7,India,ACA,29,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,DC,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Gurnoor Singh Brar,UFA7,India,PCA,21,BOWLER,LHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Akash Choudhary,UFA7,India,MECA,22,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Baltej Dhanda,UFA7,India,PCA,31,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,2000000.0,PK,Sold
Saurabh Dubey,UFA7,India,VCA,24,BOWLER,RHB,LEFT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,2000000.0,SRH,Sold
Mohit Jangra,UFA7,India,UPCA,22,BOWLER,LHB,LEFT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Aaqib Khan,UFA7,India,UPCA,18,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Ruben Trumpelmann,UFA7,Namibia,F,24,BOWLER,RHB,LEFT ARM Fast,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Associate,20,0.0,UnSold,UnSold
Brad Wheal,UFA7,Scotland,F,25,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Associate,50,0.0,UnSold,UnSold
Lalit Yadav,UFA7,India,VCA,26,BOWLER,RHB,RIGHT ARM Fast,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,6500000.0,DC,Sold
Auqib Dar,UAL8,India,JKCA,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Chirag Gandhi,UAL8,India,GUCA,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Chris Green,UAL8,Australia,F,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0.0,0.0,0.0,1.0,KKR,Do No Play,0.0,Uncapped,40,0.0,UnSold,UnSold
Sijomon Joseph,UAL8,India,KCA,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Anirudha Joshi,UAL8,India,KSCA,34,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0.0,0.0,0.0,0.0,"RCB, RR, DC",DC,0.0,Uncapped,20,0.0,UnSold,UnSold
Mohd Arshad Khan,UAL8,India,MPCA,24,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,2000000.0,MI,Sold
Ansh Patel,UAL8,India,BCA,20,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,2000000.0,PK,Sold
Shubham Sharma,UAL8,India,RCA,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Shubham Singh,UAL8,India,CSCSCA,25,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
KBhagath Varma,UAL8,India,HYCA,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0.0,0.0,0.0,0.0,CSK,CSK,0.0,Uncapped,20,2000000.0,CSK,Sold
Arpit Guleria,UFA8,India,HPCA,24,BOWLER,RHB,RIGHT ARM Fast,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Vipul Krishna,UFA8,India,BICA,21,BOWLER,RHB,LEFT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Safvan Patel,UFA8,India,BCA,23,BOWLER,RHB,LEFT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Chinntla Readdi,UFA8,India,HYCA,21,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Manish Reddy,UFA8,India,HYCA,23,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Ashok Sharma,UFA8,India,RCA,19,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,5500000.0,KKR,Sold
Ravi Sharma,UFA8,India,RCA,25,BOWLER,RHB,RIGHT ARM Fast,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Shubham Singh,UFA8,India,JSCA,23,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Corbin Bosch,UAL9,South Africa,F,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Nathan McAndrew,UAL9,Australia,F,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Diwesh Pathania,UAL9,India,SSCB,32,ALL-ROUNDER,RHB,RIGHT ARM Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Shubham Ranjane,UAL9,India,GCA,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,RR,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Tom Rogers,UAL9,Australia,F,28,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Johannes Smit,UAL9,Namibia,F,26,ALL-ROUNDER,RHB,LEFT ARM Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Associate,20,0.0,UnSold,UnSold
Sagar Trivedi,UAL9,India,CAP,30,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,RR,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Harsh Tyagi,UAL9,India,RSPB,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
R Vivek,UAL9,India,TNCA,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
RSonu Yadav,UAL9,India,TNCA,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
V Athisayaraj,UFA9,India,TNCA,29,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Ottneil Baartman,UFA9,South Africa,F,29,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
MB Darshan,UFA9,India,KSCA,26,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
V Gowtham,UFA9,India,TNCA,19,BOWLER,LHB,LEFT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Khwezi Gumede,UFA9,South Africa,F,22,BOWLER,RHB,LEFT ARM Fast,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Liam Guthrie,UFA9,Australia,F,24,BOWLER,LHB,LEFT ARM Fast,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Liam Hatcher,UFA9,Australia,F,25,BOWLER,RHB,RIGHT ARM Fast,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Jay Bista,UAL10,India,CAU,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Saurav Chuahan,UAL10,India,GUCA,21,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Tajinder Dhillon,UAL10,India,RCA,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0.0,0.0,0.0,0.0,"MI, KXIP",Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Dikshanshu Negi,UAL10,India,CAU,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Abhishek Raut,UAL10,India,OCA,35,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0.0,0.0,0.0,22.0,RR,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
KV Sasikanth,UAL10,India,ACA,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Bharat Sharma,UAL10,India,CAP,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Shivam Sharma,UAL10,India,UPCA,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0.0,0.0,0.0,5.0,KXIP,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Arjun Tendulkar,UAL10,India,MCA,22,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,0.0,0.0,0.0,0.0,MI,MI,0.0,Uncapped,20,3000000.0,MI,Sold
Amit Yadav,UAL10,India,GCA,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0.0,0.0,0.0,0.0,KXIP,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Manoj Bhandage,UAL11,India,KSCA,23,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Arun Chaprana,UAL11,India,HCA,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Ajay Dev Goud,UAL11,India,HYCA,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
